institution_link_id,person_id,name_en,institution_name,institution_qid,relationship_type,url
IN0189,FM054,Keith Underwood,New York University,,employer,https://www.nfaonline.org/about/about-the-nfa/achievement-awards/keith-underwood
IN0190,FM054,Keith Underwood,Mannes School of Music,,employer,https://www.nfaonline.org/about/about-the-nfa/achievement-awards/keith-underwood
IN0191,FM054,Keith Underwood,Queens College,,employer,https://www.nfaonline.org/about/about-the-nfa/achievement-awards/keith-underwood
IN0194,FM072,Felix Renggli,Basel Music Academy,,employer,https://www.genuinclassics.com/artist182-felix-renggli
IN0199,FM088,Tara Helen O'Connor,Yale School of Music,,employer,https://music.yale.edu/people/tara-oconnor
IN0200,FM088,Tara Helen O'Connor,Bard College Conservatory of Music,,employer,https://www.bard.edu/faculty/tara-helen-oconnor
IN0201,FM095,Yuki Koyama,Finnish Radio Symphony Orchestra,,employer,https://www.concoursgeneve.ch/eng/people/yuki_koyama
IN0202,FM095,Yuki Koyama,Sibelius Academy,,employer,https://www.concoursgeneve.ch/eng/people/yuki_koyama
IN0203,FM095,Yuki Koyama,Seoul National University,,employer,https://www.concoursgeneve.ch/eng/people/yuki_koyama
IN0204,FM099,Sébastian Jacot,Berlin Philharmonic,,employer,https://theviolinchannel.com/berlin-philharminics-principal-flute-sebastian-jacot-to-depart/
IN0205,FM099,Sébastian Jacot,Leipzig Gewandhaus Orchestra,,employer,https://theviolinchannel.com/berlin-philharminics-principal-flute-sebastian-jacot-to-depart/
IN0206,FM099,Sébastian Jacot,Hong Kong Philharmonic Orchestra,,employer,https://www.mariinsky.ru/en/company/guests/flute/jacot_sebastian/
IN0207,FM014,Gaston Crunelle,Conservatoire de Paris,,employer,https://academic.oup.com/book/58003/chapter/477207111
IN0208,FM014,Gaston Crunelle,Opera-Comique,,employer,https://academic.oup.com/book/58003/chapter/477207111
IN0209,FM025,Severino Gazzelloni,Conservatorio di Santa Cecilia,,educated_at,https://www.encyclopedia.com/arts/dictionaries-thesauruses-pictures-and-press-releases/gazzelloni-severino-0
IN0210,FM025,Severino Gazzelloni,RAI Symphony Orchestra of Rome,,employer,https://www.nfaonline.org/docs/default-source/default-document-library/gazzeloni_v2.pdf?sfvrsn=9a6ed935_0
IN0211,FM030,Trevor Wye,Guildhall School of Music,,employer,https://www.nfaonline.org/about/about-the-nfa/achievement-awards/trevor-wye
IN0212,FM030,Trevor Wye,Royal Northern College of Music,,employer,https://www.nfaonline.org/about/about-the-nfa/achievement-awards/trevor-wye
IN0219,FM065,Philippe Bernold,Conservatoire de Paris,,employer,https://www.conservatoiredeparis.fr/en/teacher/bernold-philippe
IN0220,FM065,Philippe Bernold,Orchestre de l'Opera National de Lyon,,employer,https://masteringtheflute.com/en/flutists/B/bernold-philippe-487
IN0221,FM075,Wissam Boustany,Trinity Laban Conservatoire of Music and Dance,,employer,https://masteringtheflute.com/en/flutists/B/boustany-wissam-201/
IN0222,FM075,Wissam Boustany,Royal Northern College of Music,,employer,https://masteringtheflute.com/en/flutists/B/boustany-wissam-201/
IN0223,FM079,Paul Edmund-Davies,Royal Academy of Music,,employer,https://www.ram.ac.uk/people/paul-edmund-davies
IN0224,FM079,Paul Edmund-Davies,London Symphony Orchestra,,employer,https://www.ram.ac.uk/people/paul-edmund-davies
IN0225,FM079,Paul Edmund-Davies,Philharmonia Orchestra,,employer,https://www.ram.ac.uk/people/paul-edmund-davies
IN0226,FM086,Patricia George,Sewanee Summer Music Festival,,employer,https://www.interlochen.org/person/patricia-george
IN0227,FM086,Patricia George,American Band College,,employer,https://www.interlochen.org/person/patricia-george
IN0228,FM086,Patricia George,Idaho State University,,employer,https://theinstrumentalist.com/august-september-2023/patricia-george-receives-2023-nfa-lifetime-achievement-award/
IN0229,FM093,Kazunori Seo,Ecole Normale de Musique de Paris,,employer,https://www.ecolenormalecortot.com/en/enseignants/seo-kazunori/
IN0230,FM093,Kazunori Seo,Conservatoire de Paris,,educated_at,https://www.ecolenormalecortot.com/en/enseignants/seo-kazunori/
IN0231,FM098,Davide Formisano,Hochschule fuer Musik und Darstellende Kunst Stuttgart,,employer,https://www.hmdk-stuttgart.de/person/prof-davide-formisano
IN0232,FM098,Davide Formisano,Stuttgart Philharmonic,,employer,https://www.cmclassics.ch/en/artistes/davide-formisano/
IN0233,FM100,Demarre McGill,Seattle Symphony,,employer,https://www.seattlesymphony.org/en/about/meetthemusicians/theorchestra/artists/flute/mcgill-demarre
IN0234,FM100,Demarre McGill,Colburn School,,employer,https://colburnschool.edu/faculty-listing/demarre-mcgill/
IN0235,FM100,Demarre McGill,Curtis Institute of Music,,educated_at,https://www.demarremcgill.com/
IN0236,FM100,Demarre McGill,Juilliard School,,educated_at,https://www.demarremcgill.com/
